,test_A,test_B,ag,co,sp,ab,rs,pd
0.0_1,99.78 ± 0.05,82.72 ± 2.17,64.52 ± 5.16,83.96 ± 4.55,97.11 ± 2.62,96.12 ± 3.04,69.99 ± 4.32,63.47 ± 3.58
0.05_1,99.75 ± 0.15,93.29 ± 1.0,86.34 ± 2.7,92.92 ± 3.29,99.82 ± 0.18,99.77 ± 0.22,87.78 ± 2.14,85.8 ± 2.07
0.1_1,99.66 ± 0.2,94.79 ± 0.78,89.6 ± 2.09,95.35 ± 2.46,99.7 ± 0.25,99.69 ± 0.23,90.67 ± 1.73,89.17 ± 1.77
0.15_1,99.6 ± 0.28,95.5 ± 0.64,91.21 ± 1.89,96.65 ± 2.07,99.63 ± 0.31,99.64 ± 0.31,91.99 ± 1.52,90.69 ± 1.49
0.2_1,99.53 ± 0.29,96.02 ± 0.56,92.56 ± 1.72,97.41 ± 1.51,99.57 ± 0.34,99.56 ± 0.31,92.91 ± 1.39,91.87 ± 1.41
0.25_1,99.47 ± 0.34,96.33 ± 0.49,93.39 ± 1.58,97.85 ± 1.17,99.5 ± 0.36,99.51 ± 0.37,93.51 ± 1.22,92.59 ± 1.26
0.3_1,99.44 ± 0.38,96.53 ± 0.4,93.89 ± 1.38,98.21 ± 1.02,99.48 ± 0.4,99.47 ± 0.4,93.91 ± 1.1,93.05 ± 1.13
0.35_1,99.39 ± 0.38,96.72 ± 0.37,94.44 ± 1.29,98.4 ± 0.87,99.42 ± 0.4,99.41 ± 0.41,94.26 ± 1.08,93.53 ± 1.13
0.4_1,99.39 ± 0.36,96.89 ± 0.36,94.83 ± 1.25,98.58 ± 0.71,99.43 ± 0.39,99.42 ± 0.4,94.54 ± 1.08,93.87 ± 1.04
0.45_1,99.33 ± 0.52,96.92 ± 0.4,94.97 ± 1.26,98.69 ± 0.7,99.35 ± 0.55,99.34 ± 0.56,94.7 ± 1.15,94.02 ± 1.08
0.5_1,99.32 ± 0.42,97.1 ± 0.35,95.47 ± 1.09,98.79 ± 0.63,99.34 ± 0.45,99.34 ± 0.46,95.0 ± 0.99,94.42 ± 0.99
0.55_1,99.29 ± 0.44,97.18 ± 0.32,95.65 ± 0.97,98.88 ± 0.57,99.32 ± 0.46,99.3 ± 0.49,95.17 ± 0.97,94.63 ± 0.95
0.6_1,99.22 ± 0.47,97.28 ± 0.33,95.99 ± 0.96,98.96 ± 0.51,99.25 ± 0.5,99.23 ± 0.52,95.43 ± 0.95,94.9 ± 0.87
0.65_1,99.21 ± 0.48,97.32 ± 0.37,96.09 ± 1.04,99.0 ± 0.55,99.23 ± 0.53,99.23 ± 0.54,95.55 ± 0.97,94.96 ± 0.93
0.7_1,99.15 ± 0.69,97.27 ± 0.51,96.05 ± 1.04,99.06 ± 0.5,99.16 ± 0.72,99.17 ± 0.71,95.55 ± 0.97,94.99 ± 1.0
0.75_1,99.17 ± 0.51,97.44 ± 0.41,96.43 ± 0.99,99.1 ± 0.45,99.18 ± 0.56,99.19 ± 0.55,95.86 ± 0.89,95.25 ± 0.91
0.8_1,99.18 ± 0.5,97.5 ± 0.4,96.59 ± 0.92,99.13 ± 0.41,99.2 ± 0.51,99.19 ± 0.55,95.9 ± 0.92,95.39 ± 0.86
0.85_1,99.07 ± 0.73,97.44 ± 0.56,96.52 ± 0.97,99.14 ± 0.42,99.09 ± 0.78,99.08 ± 0.77,95.96 ± 0.95,95.44 ± 0.93
0.9_1,99.08 ± 0.55,97.55 ± 0.4,96.8 ± 0.85,99.18 ± 0.38,99.09 ± 0.59,99.09 ± 0.57,96.17 ± 0.86,95.66 ± 0.83
0.95_1,99.03 ± 0.8,97.51 ± 0.6,96.72 ± 1.02,99.16 ± 0.44,99.06 ± 0.81,99.05 ± 0.84,96.14 ± 0.96,95.58 ± 0.94
1.0_1,99.03 ± 0.61,97.58 ± 0.45,96.89 ± 0.83,99.23 ± 0.33,99.05 ± 0.63,99.04 ± 0.66,96.24 ± 0.8,95.77 ± 0.78
